Analysis for tmp/report_2018-06-05.csv

Field:	citation authors
Count:	135167
Value	Number of PDB entries	Ratio in all PDB entries
Joachimiak, A.	2488	0.0173
Yokoyama, S.	2466	0.0171
Almo, S.C.	1795	0.0125
Delft, F.	1496	0.0104
Li, H.	1439	0.0100
Arrowsmith, C.H.	1347	0.0094
Zhang, Y.	1331	0.0093
Wang, J.	1170	0.0081
Krojer, T.	1168	0.0081
Anderson, W.F.	1118	0.0078
Kigawa, T.	1094	0.0076
Klebe, G.	1086	0.0076
Montelione, G.T.	1061	0.0074
Edwards, A.M.	1036	0.0072
Li, Y.	1029	0.0072

Field:	deposit dates
Count:	9270
Value	Number of PDB entries	Ratio in all PDB entries
2017-02-07	576	0.0040
2016-06-28	400	0.0028
2017-02-03	233	0.0016
2017-02-08	177	0.0012
2014-07-24	118	0.0008
2007-03-28	103	0.0007
2004-05-28	101	0.0007
2007-03-30	87	0.0006
2015-02-10	83	0.0006
2015-07-23	79	0.0005

Field:	publication years
Count:	63
Value	Number of PDB entries	Ratio in all PDB entries
	25056	0.1742
2016	9299	0.0646
2017	9198	0.0639
2015	8816	0.0613
2013	8434	0.0586
2014	8392	0.0583
2012	7814	0.0543
2011	6870	0.0478
2010	6709	0.0466
2009	6140	0.0427

Field:	journals
Count:	1910
Value	Number of PDB entries	Ratio in all PDB entries
To be Published	15939	0.1108
J.Mol.Biol.	13330	0.0927
J.Biol.Chem.	12473	0.0867
Biochemistry	11790	0.0820
Proc.Natl.Acad.Sci.USA	7277	0.0506
Structure	6339	0.0441
Acta Crystallogr.,Sect.D	5652	0.0393
Nature	5243	0.0365
To Be Published	4404	0.0306
J.Med.Chem.	4122	0.0287
Nat.Struct.Mol.Biol.	4081	0.0284
Science	3623	0.0252
Protein Sci.	3014	0.0210
Nat Commun	2694	0.0187
Proteins	2596	0.0180

Field:	genes
Count:	80016
Value	Number of PDB entries	Ratio in all PDB entries
	34149	0.2374
gag-pol	1077	0.0075
LYZ	978	0.0068
B2M	743	0.0052
CA2	718	0.0050
HDCMA22P	695	0.0048
E	693	0.0048
CDABP0092	689	0.0048
EAPA	530	0.0037
EPN-1	530	0.0037
rpsF	470	0.0033
rpsL	465	0.0032
rpsO	464	0.0032
rpsJ	462	0.0032
rpsH	462	0.0032

Field:	keywords
Count:	4231
Value	Number of PDB entries	Ratio in all PDB entries
HYDROLASE	21688	0.1508
TRANSFERASE	16660	0.1158
OXIDOREDUCTASE	12854	0.0894
LYASE	4531	0.0315
IMMUNE SYSTEM	4297	0.0299
TRANSCRIPTION	3916	0.0272
TRANSPORT PROTEIN	3473	0.0241
SIGNALING PROTEIN	3269	0.0227
UNKNOWN FUNCTION	3023	0.0210
ISOMERASE	2733	0.0190
HYDROLASE/HYDROLASE INHIBITOR	2699	0.0188
VIRAL PROTEIN	2467	0.0172
LIGASE	2217	0.0154
PROTEIN BINDING	2061	0.0143
MEMBRANE PROTEIN	2038	0.0142

Field:	deposit years
Count:	47
Value	Number of PDB entries	Ratio in all PDB entries
2016	10845	0.0754
2015	10294	0.0716
2013	9988	0.0694
2014	9737	0.0677
2012	9389	0.0653
2017	9039	0.0628
2011	8719	0.0606
2010	8435	0.0586
2009	7973	0.0554
2007	7728	0.0537
2008	6695	0.0465
2006	6539	0.0455
2005	6150	0.0428
2004	5207	0.0362
2003	4517	0.0314
2002	3255	0.0226
2001	3132	0.0218
2000	2885	0.0201
1999	2498	0.0174
1998	2108	0.0147
1997	1787	0.0124
1996	1386	0.0096
1995	1158	0.0081
1994	996	0.0069
2018	989	0.0069
1993	749	0.0052
1992	527	0.0037
1991	393	0.0027
1990	211	0.0015
1989	143	0.0010
1988	94	0.0007
1987	47	0.0003
1982	42	0.0003
1984	27	0.0002
1981	25	0.0002
1986	24	0.0002
1983	18	0.0001
1976	17	0.0001
1985	16	0.0001
1979	12	0.0001
1975	11	0.0001
1977	11	0.0001
1978	10	0.0001
1980	8	0.0001
1973	2	0.0000
1974	1	0.0000
1972	1	0.0000

Field:	deposit months
Count:	12
Value	Number of PDB entries	Ratio in all PDB entries
03	12998	0.0904
05	12969	0.0902
07	12672	0.0881
06	12518	0.0870
02	12072	0.0839
10	11912	0.0828
08	11907	0.0828
01	11712	0.0814
04	11555	0.0803
09	11434	0.0795

Field:	deposit days
Count:	31
Value	Number of PDB entries	Ratio in all PDB entries
28	5431	0.0378
07	5035	0.0350
14	4946	0.0344
20	4937	0.0343
15	4867	0.0338
22	4860	0.0338
10	4831	0.0336
21	4801	0.0334
11	4790	0.0333
09	4779	0.0332
08	4756	0.0331
16	4751	0.0330
17	4745	0.0330
03	4745	0.0330
27	4709	0.0327
12	4707	0.0327
06	4705	0.0327
19	4698	0.0327
18	4681	0.0325
13	4666	0.0324
23	4586	0.0319
24	4579	0.0318
26	4563	0.0317
29	4548	0.0316
30	4457	0.0310
25	4443	0.0309
02	4420	0.0307
05	4363	0.0303
04	4353	0.0303
01	4259	0.0296
31	2827	0.0197
