Analysis for tmp/report_2018-06-09.csv

Field:	citation authors
Count:	135308
Value	Number of PDB entries	Ratio in all PDB entries
Joachimiak, A.	2490	0.0173
Yokoyama, S.	2467	0.0171
Almo, S.C.	1795	0.0125
Delft, F.	1496	0.0104
Li, H.	1439	0.0100
Arrowsmith, C.H.	1348	0.0094
Zhang, Y.	1335	0.0093
Wang, J.	1170	0.0081
Krojer, T.	1168	0.0081
Anderson, W.F.	1118	0.0078
Klebe, G.	1101	0.0076
Kigawa, T.	1094	0.0076
Montelione, G.T.	1061	0.0074
Heine, A.	1038	0.0072
Edwards, A.M.	1037	0.0072

Field:	deposit dates
Count:	9273
Value	Number of PDB entries	Ratio in all PDB entries
2017-02-07	576	0.0040
2016-06-28	400	0.0028
2017-02-03	233	0.0016
2017-02-08	177	0.0012
2014-07-24	118	0.0008
2007-03-28	103	0.0007
2004-05-28	101	0.0007
2007-03-30	87	0.0006
2015-02-10	83	0.0006
2015-07-23	79	0.0005

Field:	publication years
Count:	63
Value	Number of PDB entries	Ratio in all PDB entries
	25107	0.1743
2016	9301	0.0646
2017	9204	0.0639
2015	8817	0.0612
2013	8434	0.0586
2014	8394	0.0583
2012	7814	0.0543
2011	6870	0.0477
2010	6709	0.0466
2009	6140	0.0426
2007	5817	0.0404
2008	5815	0.0404
2006	5375	0.0373
2005	5011	0.0348
2004	4858	0.0337
2003	4442	0.0308
2002	3846	0.0267
2001	3772	0.0262
2018	3759	0.0261
2000	3640	0.0253
1999	3540	0.0246
1998	3197	0.0222
1997	2809	0.0195
1996	2754	0.0191
1994	2696	0.0187
1995	2639	0.0183
1993	2110	0.0146
1992	1706	0.0118
1991	1495	0.0104
1990	1269	0.0088
1989	1039	0.0072
1987	921	0.0064
1988	788	0.0055
1985	408	0.0028
1984	387	0.0027
1986	366	0.0025
1981	340	0.0024
1982	337	0.0023
1978	334	0.0023
1977	312	0.0022
1975	303	0.0021
1983	299	0.0021
1979	265	0.0018
1974	255	0.0018
1976	234	0.0016
1980	193	0.0013
1973	167	0.0012
1972	118	0.0008
1971	78	0.0005
1970	43	0.0003
1969	34	0.0002
1965	24	0.0002
1967	22	0.0002
1966	11	0.0001
1968	11	0.0001
1954	7	0.0000
1953	6	0.0000
1962	2	0.0000
1959	2	0.0000
1947	2	0.0000
1963	2	0.0000
1964	1	0.0000
1950	1	0.0000

Field:	journals
Count:	1912
Value	Number of PDB entries	Ratio in all PDB entries
To be Published	15948	0.1107
J.Mol.Biol.	13327	0.0925
J.Biol.Chem.	12472	0.0866
Biochemistry	11794	0.0819
Proc.Natl.Acad.Sci.USA	7277	0.0505
Structure	6342	0.0440
Acta Crystallogr.,Sect.D	5651	0.0392
Nature	5254	0.0365
To Be Published	4436	0.0308
J.Med.Chem.	4122	0.0286
